Id,Title,Publication,Publication_Type,Publication_Domain,Link,Author,Date,QAI_Types,Base_Technique,QAI_Integration_Mechanism,Number_Of_Agents,Modality,Number_Of_Input_Modalities,Part_Of_EI_Enhanced_By_QAI,Main_Functionality_Of_Enhanced_Modules,Enhancement_Type,Explanation_Details,Capability_And_Primary_Task,Application_Context,Mobility_Mode,Github_Repo,Quantum_Side_Execution,Quantum_Side_Platform,Embodied_Side_Evaluation,Embodied_Side_Platform,Hybrid_Setting
1,Artificial intelligence-based monitoring of MAG welding by a novel hybrid quantum neural network model and signal augmentation,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,Journal,Robotics,http://dx.doi.org/10.1007/s00170-025-15767-6,"Soleymani, M; Khoshnevisan, M; Afshari, BM; Chehreghani, R; Entezari, R",2025,hybrid,Neural networks,Parameterized quantum circuit as learnable operator,single,Audio,unimodal,perception,Auditory perception of noise of welding defect for classification,Representation,Representation: Quantum neural networks enhance feature representation for welding signal analysis,Monitoring Inspection,Manufacturing,Fixed-base Robot,,Quantum simulator or software framework,PennyLane,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
2,Design and analysis of parallel quantum transfer fractal priority replay with dynamic memory algorithm in quantum reinforcement learning for robotics,IET QUANTUM COMMUNICATION,Journal,Quantum,http://dx.doi.org/10.1049/qtc2.12111,"Palanivel, R; Muthulakshmi, P",2024,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,Proprioception,unimodal,reasoning,"the QNN (4-qubit) encodes state-action Q-values into quantum superposition states,assign priority weights to replay experiences so the agent selects the optimal movement action","Learning, Probabilistic",Learning: Quantum replay improves RL policy learning; Probabilistic: Quantum state encoding strengthens stochastic exploration,Navigation Path Planning,Transportation,Wheeled Robot,https://github.com/PALANIVELAADHI/iet-autonomous_vehicle.git,Quantum simulator or software framework,Qiskit; PennyLane,Numerical or engineering simulation,Numerical simulation,Coupled quantum-side execution and embodied-side evaluation
3,Developed Improved Weighed Quantum Particle Swarm Optimisation with Deep Convolutional Neural Network Algorithm to Improve the Automated Concrete Surface Defect Detection in Bridge Inspections,TRAITEMENT DU SIGNAL,Journal,Computer Science,http://dx.doi.org/10.18280/ts.420125,"Veerasamy, V; Paramasivam, SK; Jothi, KR",2025,quantum-inspired,Swarm intelligence,"Quantum-inspired parameter update mechanism,Quantum state representation of semantic / cognitive variables",single,Vision,unimodal,perception,Visual perception of bridge defects,Optimization,Optimization: QPSO optimizes CNN parameters for better defect detection accuracy,Monitoring Inspection,Infrastructure,Aerial Robot,,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,Gazebo,Embodied-side evaluation with classical quantum-inspired execution
4,Designing a physical quantum agent,PHYSICAL REVIEW A,Journal,Quantum,http://dx.doi.org/10.1103/PhysRevA.103.032411,"Kewming, MJ; Shrapnel, S; Milburn, GJ",2021,hybrid,Null,Using quantum hardware,single,Single-photon pulse,unimodal,"perception,execution","Perceive the change of the temporal profile of the probe pulse,transmit a detection pulse","Representation, Learning",Representation: Quantum state modeling enhances perception encoding; Learning: Quantum state dynamics strengthen action-decision coupling,Decision Making,Generic Robotics,Non-Robotic System,,Quantum hardware or quantum-device execution,Quantum actuator/sensor,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
5,"Quantum robotics, neural networks and the quantum force interpretation",NeuroQuantology,Journal,Quantum,https://www.scopus.com/pages/publications/85066766674?origin=resultslist,Gonçalves C.P.,2019,quantum,Neural networks,Parameterized quantum circuit as learnable operator,single,Quantum information,unimodal,execution,"Quantum robots achieve adaptive perception, optimal decision-making, and dynamic regulation of quantum targets in the environment of quantum entanglement and nonlocal fields.",Control,"Control:Improve the stability, accuracy, and adaptability in dynamic control processes",Control,Generic Robotics,Unspecified,,Quantum hardware or quantum-device execution,IBM Q Experience; Quantum actuator/sensor; Quantum chip; IBM Q Experience transmon bowtie chip,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
6,Quantum machine learning with glow for episodic tasks and decision games,PHYSICAL REVIEW A,Journal,Quantum,http://dx.doi.org/10.1103/PhysRevA.97.022303,"Clausen, J; Briegel, HJ",2018,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,Position Modality,unimodal,reasoning,"encodes environmental percepts as quantum states, transforms them via a parameterized quantum unitary channel, and selects actions through quantum measurement outcomes",Learning,Learning: Quantum machine learning enhances episodic decision-making and policy learning,Decision Making,Generic Robotics,Non-Robotic System,,Quantum-side execution not specified,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
7,Quantum Artificial Intelligence Based Node Localization Technique for Wireless Networks,CMC-COMPUTERS MATERIALS & CONTINUA,Journal,Computer Science,http://dx.doi.org/10.32604/cmc.2022.026464,"Mengash, HA; Marzouk, R; Hassine, SB; Hilal, AM; Yaseen, I; Motwakel, A",2022,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,perception,Perception of location,Optimization,Optimization: Quantum optimization improves localization accuracy in spatial perception,Localization,Communication,Non-Robotic System,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
8,Quantum neural network-based inverse kinematics of a six-jointed industrial robotic arm,Robotics and Autonomous Systems,Journal,Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010001423&doi=10.1016%2Fj.robot.2025.105123&partnerID=40&md5=d1f73f4a94ae604f7efbfcf12f024658,"Fazilat, M.; Zioui, N.",2025,quantum-inspired,Neural networks,Quantum activation function,single,Proprioception,unimodal,reasoning,Inverse kinematics (IK) solving:the QNN reasons backward to infer the 6 joint angles required to achieve that pose on a 6-DOF industrial arm given the desired end-effector pose,Representation,Representation: QNN models nonlinear inverse-kinematics relationships more effectively,Kinematics Dynamics Modeling,Manufacturing,Fixed-base Robot,,Classical execution of quantum-inspired method,,Physical embodied platform,Physical robot platforms; MATLAB; ABB RobotStudio/RobotWare,Embodied-side evaluation with classical quantum-inspired execution
9,Bilinear quantum recurrent neural network-based real-time adaptive controller,Neural Computing and Applications,Journal,Artificial Intelligence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017392162&doi=10.1007%2Fs00521-025-11651-2&partnerID=40&md5=53060be0916d6bee97984b973183d47a,"Hanna, Y.F.; El-Nagar, A.M.; El-Bardini, M.; Khater, A.",2025,quantum-inspired,Neural networks,Quantum activation function,single,Proprioception,unimodal,execution,"Quantum-neuron adaptive wheel-speed controller,BLQRNN plant identifier for mobile robot trajectory tracking","Representation, Control",Representation: QRNN improves dynamic system modeling; Control: QRNN strengthens real-time adaptive control performance,Control,Generic Robotics,Wheeled Robot,,Classical execution of quantum-inspired method,,Physical embodied platform,Nonholonomic two-wheel mobile robot (NHWMR),Embodied-side evaluation with classical quantum-inspired execution
10,A Quantum-Inspired Hybrid Artificial Neural Network for Identifying the Dynamic Parameters of Mobile Car-Like Robots,Mathematics,Journal,Mathematics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016182474&doi=10.3390%2Fmath13172856&partnerID=40&md5=fb0dc52f0634705262a2d6f14ec37f7e,"Numbi, J.; Fazilat, M.; Zioui, N.",2025,quantum-inspired,Neural networks,Quantum activation function,single,Proprioception,unimodal,reasoning,Inverse dynamics parameter identification:the QANN reasons backward to infer the robot's latent physical parameters after being given a trajectory tracking profile,Optimization,Optimization: Quantum-inspired optimization improves dynamic-parameter identification,Kinematics Dynamics Modeling,Generic Robotics,Wheeled Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
